OID_;navn;type;innfartsparkering;referanse;id;bruksområde;antall_avgiftsfrie_plasser;antall_avgiftsbelagte_plasser;plasser_reservert_handikappede;antall_ladeplasser;antall_parkeringsplasser_små_k;antall_parkeringsplasser_store_;areal;avgift;avgifts__restriksjonsinfo;vinterdriftsklasse;brøyterodenummer;strørodenummer;byggeår;eier;vedlikeholdsansvarlig;parkeringstilbyder_navn;parkeringstilbyder_id;organisasjonsnummer;versjonsnummer;skiltplan_id;kjøretøytype__dimensjonerende;adresse;postnummer;poststed;lengdegrad;breddegrad;ORIG_FID;Long;Lat
224;Narvik stasjon parkering for reisende;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8035;;0;30;3;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;3;66322;;Stasjonsveien 1;8514;NARVIK;600088,114599999971688;7594075,252399999648333;3758;17,4412994;68,4415283
225;Dramsvegen v/Gyllenvang;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8107;;8;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8989;;Dramsvegen 134;9010;TROMSØ;653573,085800000000745;7733847,826299999840558;3815;18,9627552;69,6681366
226;Dramsvegen v/skibrua;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8108;;8;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8990;;Dramsvegen 503;9014;TROMSØ;653308,803500000038184;7735232,280500000342727;3816;18,9582672;69,6806793
227;Dramsvegen v/ Grønnåsen kirke ;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8115;;5;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8988;;Dramsvegen 203;9010;TROMSØ;653394,468899999978021;7735062,234000000171363;3818;18,9601879;69,6791077
228;Grønnegata v/ biblioteket;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8118;;2;0;2;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8991;;Grønnegata 94;9008;TROMSØ;653404,414400000008754;7731870,003299999982119;3821;18,9551163;69,6505432
229;Grønnegata 99;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8119;;2;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8994;;Grønnegata 99;9008;TROMSØ;653475,521500000031665;7732098,619900000281632;3822;18,9573269;69,6525497
230;Skippergata 1;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8120;;2;0;2;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8997;;Havnegata 1C;9008;TROMSØ;653605,479999999981374;7732048,927299999631941;3823;18,9605846;69,6520233
231;Torghuken;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8122;;4;0;4;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;2;51259;;Sjøgata 45;9008;TROMSØ;653578,383999999961816;7731943,772199999541044;3825;18,9597111;69,6511002
232;Kvaløyvegen v/ Telegrafbukta;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8124;;0;4;4;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9021;;Kvaløyvegen;9006;TROMSØ;651767,951400000019930;7729811,922500000335276;3827;18,9096584;69,6330719
233;Langnesvegen v/ Prestvannet;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8125;;1;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9023;;Langnesvegen;9012;TROMSØ;652384,422699999995530;7732751,068199999630451;3828;18,9303551;69,6590118
234;Mortensnesvegen;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8127;;12;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9003;;Mortensnesvegen 1;9014;TROMSØ;652650,331099999952130;7735494,127600000239909;3831;18,9417515;69,6834030
235;Prestvannvegen v/ Prestvannet;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8128;;7;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;2;15518;;Prestvannvegen 44;9011;TROMSØ;652639,076200000010431;7732972,373999999836087;3832;18,9372711;69,6608505
236;Grønnegata v/ Rådhusparken;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8130;;3;0;3;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;8993;;Grønnegata 106;9008;TROMSØ;653436,462100000004284;7731996,714999999850988;3833;18,9561520;69,6516571
237;Lanesvegen;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8133;;1;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9022;;Lanesvegen 42;9006;TROMSØ;652022,263200000044890;7729226,887699999846518;3835;18,9152279;69,6276932
238;Lars Thørings veg;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8134;;11;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9001;;Lars Thørings veg 24;9006;TROMSØ;651911,489199999952689;7730148,284099999815226;3836;18,9139004;69,6360016
239;Myrvegen;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8135;;14;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;2;37678;;Myrvegen 44;9020;TROMSDALEN;654806,043500000028871;7731041,857400000095367;3837;18,9897537;69,6423187
240;Solstrandvegen v/ Reinen skole;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8137;;12;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;2;9028;;Solstrandvegen 76;9020;TROMSDALEN;653927,960100000025705;7730235,560899999924004;3839;18,9658432;69,6356125
241;Turistvegen;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8140;;3;0;3;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9032;;Turistvegen 116;9020;TROMSDALEN;655967,867100000032224;7730662,916299999691546;3842;19,0189629;69,6382446
242;Wanny Woldstads veg;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8141;;12;0;12;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9033;;Wanny Woldstads veg 140;9013;TROMSØ;651557,273599999956787;7731329,939199999906123;3843;18,9067440;69,6467743
243;Skibsgården Sortland;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8144;;0;230;7;0;;;;;;;;;;;;ONEPARK AS AVD HOVEDKONTOR;481;999538959;3;95805;;Strandgata 14;8400;SORTLAND;516910,861600000003818;7620514,586900000460446;3844;15,4170799;68,6959305
244;Seminarbakken;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8149;;3;0;3;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9025;;Seminarbakken 1;9008;TROMSØ;653735,132300000055693;7732458,415599999949336;3849;18,9646015;69,6556168
245;Skolegata v/ Gyllenborg skole;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8150;;4;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9006;;Skolegata 41;9008;TROMSØ;653273,768099999986589;7732044,966799999587238;3850;18,9520493;69,6521835
246; Stakkevollvegen 98;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8151;;4;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9029;;Stakkevollvegen 98;9010;TROMSØ;653825,592900000046939;7733770,122299999929965;3851;18,9691219;69,6672974
247;Strandvegen 69;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8152;;3;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9008;;Strandvegen 69;9007;TROMSØ;652832,243299999972805;7730650,269500000402331;3852;18,9383850;69,6399612
248;Tromsdalen Kirke;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8153;;37;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;2;95845;;Th Widdings veg 2;9020;TROMSDALEN;654704,154300000052899;7731631,897499999962747;3853;18,9881268;69,6476517
249;Th. Widdings veg v/ Tromsdalen skole;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8154;;4;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9031;;Th Widdings veg 3;9020;TROMSDALEN;654955,528099999995902;7731655,384700000286102;3854;18,9946251;69,6477203
250;Forsøket;LANGS_KJOREBANE;NEI;Parkeringsregisteret;8272;;6;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9261;;Forsøket 7;9010;TROMSØ;653790,670200000051409;7732841,297500000335276;3917;18,9666691;69,6590042
251;Kunstforeninga;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8289;;1;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9262;;Muségata 2;9008;TROMSØ;653142,635099999955855;7731298,292999999597669;3924;18,9474373;69,6455765
252;Malmvegen;LANGS_KJOREBANE;JA;Parkeringsregisteret;8290;;7;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9263;;Malmvegen 92;9022;KROKELVDALEN;658080,821299999952316;7735332,235199999995530;3926;19,0812626;69,6787567
253;Musikkonservatoriet;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8291;;1;0;1;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;9242;;Krognessvegen 33;9006;TROMSØ;651957,110400000005029;7730156,799399999901652;3927;18,9150867;69,6360474
254;Psykiatrisk senter;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8309;;17;0;2;0;;;;;;;;;;;;RANA KOMMUNE PARKERINGSKONTORET;153;974550784;1;9298;;Sjøforsgata 35;8613;MO I RANA;463593,902000000001863;7356610,100200000219047;3929;14,1874256;66,3271332
255;Bakeribygget;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8332;;4;0;2;0;;;;;;;;;;;;RANA KOMMUNE PARKERINGSKONTORET;153;974550784;1;9323;;Moholmen 16;8624;MO I RANA;461040,682099999976344;7354979,916100000031292;3934;14,1309519;66,3122025
256;880005;LANGS_KJOREBANE;JA;Parkeringsregisteret;8455;;0;5;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;3;9584;;Syv Søstres gate 8;8800;SANDNESSJØEN;392825,024199999985285;7324382,466300000436604;4000;12,6361341;66,0219955
257;880006;LANGS_KJOREBANE;JA;Parkeringsregisteret;8456;;0;21;1;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;4;9557;;Sjøbergs gate 34;8800;SANDNESSJØEN;392619,979600000020582;7324301,072399999946356;4001;12,6316843;66,0212021
258;880010;LANGS_KJOREBANE;JA;Parkeringsregisteret;8460;;4;0;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;2;9588;;Jørgen B. Jacobsens gate 1;8800;SANDNESSJØEN;392385,145900000003166;7324263,994099999777973;4002;12,6265411;66,0207901
259;880011;LANGS_KJOREBANE;JA;Parkeringsregisteret;8461;;11;0;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;2;9600;;Torolv Kveldulvsons gate 54;8800;SANDNESSJØEN;392395,707700000028126;7324227,672100000083447;4003;12,6268044;66,0204620
260;880013;LANGS_KJOREBANE;JA;Parkeringsregisteret;8462;;0;13;1;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;4;9589;;Håreks gate 4;8800;SANDNESSJØEN;392539,275699999998324;7324254,145100000314415;4004;12,6299448;66,0207520
261;880014;LANGS_KJOREBANE;JA;Parkeringsregisteret;8463;;0;6;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;2;9599;;Torolv Kveldulvsons gate 49;8800;SANDNESSJØEN;392561,107499999983702;7324326,167299999855459;4005;12,6303663;66,0214005
262;880016;AVGRENSET_OMRADE;JA;Parkeringsregisteret;8464;;55;0;4;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;3;9583;;Håreks gate 37;8800;SANDNESSJØEN;392100,052199999976438;7324025,916299999691546;4006;12,6204586;66,0185547
263;Sivert Nilsens gate 21;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;41235;;0;41;1;0;;;;;;;;;;;;CETHO EIENDOM AS;4182;966610034;1;58700;;Sivert Nilsens gate 21;8300;SVOLVÆR;481808,720900000014808;7568883,039400000125170;4009;14,5604286;68,2327881
264;880002;AVGRENSET_OMRADE;JA;Parkeringsregisteret;8475;;0;75;1;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;3;9580;;Sjøbergs gate;8800;SANDNESSJØEN;392928,207400000013877;7324452,873900000005960;4011;12,6383486;66,0226669
265;880003;LANGS_KJOREBANE;JA;Parkeringsregisteret;8476;;0;57;1;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;4;9582;;Havnegata 9A;8800;SANDNESSJØEN;392516,769499999994878;7324371,909699999727309;4012;12,6293507;66,0217972
266;880007;LANGS_KJOREBANE;JA;Parkeringsregisteret;8477;;0;28;2;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;5;9556;;Sjøbergs gate 21;8800;SANDNESSJØEN;392809,797599999990780;7324396,316100000403821;4013;12,6357870;66,0221176
267;880009;LANGS_KJOREBANE;JA;Parkeringsregisteret;8479;;0;11;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;2;9587;;Torolv Kveldulvsons gate 57;8800;SANDNESSJØEN;392462,523700000019744;7324273,336199999786913;4014;12,6282377;66,0208969
268;880012;AVGRENSET_OMRADE;JA;Parkeringsregisteret;8480;;0;41;3;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;3;9585;;undefined 0;8800;SANDNESSJØEN;392611,673699999984819;7324424,769999999552965;4015;12,6313982;66,0223083
269;880015;LANGS_KJOREBANE;JA;Parkeringsregisteret;8482;;0;4;0;0;;;;;;;;;;;;ALSTAHAUG PARKERING AS;1361;820288092;2;0;;Sjøbergs gate 27;8800;SANDNESSJØEN;392750,278600000019651;7324360,966900000348687;4016;12,6345053;66,0217819
270;Plassmyra ved Staples;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8533;;0;40;2;6;;;;;;;;;;;;BODØ KOMMUNE;222;972418013;5;91485;;Gidsken Jakobsens vei 14;8008;BODØ;474857,000000000000000;7462269,404500000178814;4032;14,4167309;67,2760239
271;Bodø Storsenter;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8552;;0;150;11;20;;;;;;;;;;;;ONEPARK AS AVD HOVEDKONTOR;481;999538959;3;53003;;Verkstedveien 1;8008;BODØ;474923,383099999977276;7462563,330199999734759;4047;14,4182072;67,2786713
272;Dags- og langtidsparkering;AVGRENSET_OMRADE;JA;Parkeringsregisteret;8693;;0;30;0;0;;;;;;;;;;;;HAMMERFEST PARKERING KF;124;992041765;2;10436;;Nedre Molla;9603;HAMMERFEST;820325,010699999984354;7863260,989500000141561;4149;23,6955872;70,6671143
273;Gimlevegen 40;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8815;;0;26;0;0;;;;;;;;;;;;APCOA PARKING NORWAY AS;121;929292065;4;69532;;Gimlevegen 40;9019;TROMSØ;654257,348299999954179;7735932,081799999810755;4172;18,9838600;69,6863861
274;Harstad stadion;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;8882;;100;0;3;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;1;10387;;Jonas Lies gate 8;9405;HARSTAD;561861,704000000027008;7633320,789200000464916;4192;16,5332851;68,8043747
275;Dags/langtidsparkering;AVGRENSET_OMRADE;JA;Parkeringsregisteret;8912;;0;40;0;0;;;;;;;;;;;;HAMMERFEST PARKERING KF;124;992041765;1;10437;;Storvannsveien 7;9603;HAMMERFEST;820450,732399999978952;7863074,700799999758601;4208;23,6982307;70,6652985
276;Taraldsvikfossen vannbehandlingsanlegg;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;41873;;12;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;60320;;Reinveien, Narvik;8517;NARVIK;601235,093299999949522;7593953,034300000406802;4235;17,4691238;68,4400177
277;MC Vestregata;LANGS_KJOREBANE;NEI;Parkeringsregisteret;9249;;3;0;0;0;;;;;;;;;;;;TROMSØ OFFENTLIGE PARKERING AS;193;914231515;1;10780;;Vestregata 48;9008;TROMSØ;653389,214599999948405;7731999,464300000108778;4265;18,9549427;69,6517105
278;Moloveien 12;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9340;;0;30;1;1;;;;;;;;;;;;AIMO PARK NORWAY AS;23;946359106;5;49958;;Moloveien 12;8003;BODØ;472945,884499999985565;7462802,548299999907613;4285;14,3722754;67,2806396
279;Moloveien 20;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9346;;0;19;1;1;;;;;;;;;;;;AIMO PARK NORWAY AS;23;946359106;5;49959;;Moloveien 20;8003;BODØ;473069,996400000003632;7462898,960199999623001;4286;14,3751316;67,2815170
280;Tennis- og ishallen;AVGRENSET_OMRADE;JA;Parkeringsregisteret;42193;;5;46;4;0;;;;;;;;;;;;TROMSØ PARKERING AS;128;912994481;1;60420;;Dramsvegen 202;9010;TROMSØ;653465,013799999956973;7734791,946700000204146;4308;18,9615517;69,6766434
281;Ringveien 26 - Finnsnes;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9449;;6;61;4;0;;;;;;;;;;;;TIME PARK AS;135;991003975;5;63980;;Nærmeste adresse er Ringveien 30;9300;FINNSNES;617928,218299999949522;7682604,002299999818206;4311;17,9804592;69,2275467
282;Tennishallen;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9452;;30;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;11108;;Ørnveien 26;8516;NARVIK;598433,118800000054762;7594105,139499999582767;4313;17,4010048;68,4423752
283;Håreks gate 62 - 64;LANGS_KJOREBANE;NEI;Parkeringsregisteret;42295;;4;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;3;60601;;Håreks gate 62;8514;NARVIK;599731,906799999997020;7593711,294700000435114;4362;17,4322701;68,4383926
284;Skoleveien kort tid;LANGS_KJOREBANE;NEI;Parkeringsregisteret;42333;;10;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;60702;;Skoleveien/ Hålogalands gata;8516;NARVIK;599019,862199999974109;7594056,778900000266731;4394;17,4152546;68,4417343
285;Macktomta;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9749;;0;200;3;0;;;;;;;;;;;;APCOA PARKING NORWAY AS;121;929292065;6;69511;;Strandvegen 2;9007;TROMSØ;653230,993600000045262;7731256,952399999834597;4497;18,9496384;69,6451569
286;Trollfjord;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9773;;1;8;1;0;;;;;;;;;;;;VÅGAN KOMMUNE DRIFT OG FORVALTNING ADMINISTRASJON;1102;874558672;2;44226;;Lofotgata 33;8300;SVOLVÆR;481785,047699999995530;7568929,368200000375509;4501;14,5598488;68,2332001
287;Torggata/Rækøyveien;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9774;;1;24;1;0;;;;;;;;;;;;VÅGAN KOMMUNE DRIFT OG FORVALTNING ADMINISTRASJON;1102;874558672;2;44918;;Torggata 25A;8310;KABELVÅG;478331,899299999990035;7566313,596499999985099;4502;14,4769459;68,2094955
288;Coop Xtra - Verftsgata;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9796;;47;0;3;0;;;;;;;;;;;;NAMSOS KOMMUNE;521;942875967;3;86997;;Verftsgata 8;7800;NAMSOS;331332,109799999976531;7153701,688599999994040;4510;11,4916067;64,4668655
289;Meieritomta;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9811;;5;90;5;2;;;;;;;;;;;;VÅGAN KOMMUNE DRIFT OG FORVALTNING ADMINISTRASJON;1102;874558672;4;77087;;Storgata 50;8300;SVOLVÆR;482017,547599999990780;7568970,423600000329316;4513;14,5654602;68,2335815
290;Opplæringssenteret;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;9812;;26;0;2;0;;;;;;;;;;;;NAMSOS KOMMUNE;521;942875967;1;11751;;Geilin 1;7803;NAMSOS;331978,317500000004657;7154246,464200000278652;4514;11,5043945;64,4720688
291;Trekanten;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;42874;;5;100;5;4;;;;;;;;;;;;RANA KOMMUNE PARKERINGSKONTORET;153;974550784;3;95609;;Søndre gate 2;8624;MO I RANA;461078,409700000018347;7354409,394299999810755;4549;14,1319704;66,3070831
292;Kvartal 8-Bussterminalen;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;42975;;10;40;0;0;;;;;;;;;;;;ONEPARK AS AVD HOVEDKONTOR;481;999538959;1;62262;;Nordre Frydenlund alle 6A;8400;SORTLAND;516798,647799999976996;7620156,348600000143051;4625;15,4142532;68,6927185
293;AMFI Kanebogen;PARKERINGSHUS;NEI;Parkeringsregisteret;10247;;0;380;10;2;;;;;;;;;;;;TIME PARK SERVICE AS;113;991004343;4;30418;;Skilleveien 5;9411;HARSTAD;563225,608099999953993;7630559,589999999850988;4647;16,5653324;68,7793121
294;Kvistad Senter;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;10290;;0;40;1;0;;;;;;;;;;;;TIME PARK AS;135;991003975;5;63960;;Skolegata 6;9300;FINNSNES;617988,649699999950826;7682928,856999999843538;4666;17,9823837;69,2304306
295;Kongens gate 20 ;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43114;;0;12;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66622;;Kongens gate 20;8514;NARVIK;599484,006300000008196;7593329,002799999900162;4692;17,4258633;68,4350510
296;Kongens gate 52;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43115;;0;8;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66625;;Kongens gate 52;8514;NARVIK;599655,011399999959394;7593828,002199999988079;4694;17,4305096;68,4394608
297;Frydenlundgata 11;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43116;;0;8;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66602;;Frydenlundgata 11;8516;NARVIK;599256,012699999962933;7593839,958999999798834;4696;17,4207993;68,4397125
298;Kongens gate 26;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43134;;0;12;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66584;;Kongens gate 26;8514;NARVIK;599503,984700000029989;7593417,951700000092387;4702;17,4264355;68,4358444
299;Kongens gate 32;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43135;;0;12;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66623;;Kongens gate 32;8514;NARVIK;599512,002899999963120;7593500,961099999956787;4703;17,4267101;68,4365845
300;Kongens gate 38;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43136;;0;8;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66624;;Kongens gate 38;8514;NARVIK;599519,625099999946542;7593587,749400000087917;4704;17,4269791;68,4373550
301;Kongens gate 58;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43154;;0;4;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66626;;Kongens gate 58;8514;NARVIK;599693,144399999990128;7593875,820799999870360;4715;17,4314842;68,4398804
302;Brugata 4 ;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43155;;0;4;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66583;;Frydenlundgata 14;8516;NARVIK;599304,941100000054576;7593820,121799999848008;4717;17,4219723;68,4395142
303;Frydenlund gata 15 og Ofotveien 4;LANGS_KJOREBANE;NEI;Parkeringsregisteret;43156;;2;12;1;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;2;66442;;Ofotveien 4;8517;NARVIK;599338,028099999995902;7593923,311499999836087;4719;17,4228783;68,4404297
304;Beisfjordveien / Markveien;LANGS_KJOREBANE;NEI;Parkeringsregisteret;10450;;8;0;0;0;;;;;;;;;;;;NARVIK KOMMUNE;301;959469059;1;12584;;Beisfjordveien 21;8514;NARVIK;599949,215300000039861;7590785,984199999831617;4746;17,4347458;68,4121017
305;Norrøna eiendom AS;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;43594;;0;80;0;0;;;;;;;;;;;;TROMSØ PARKERING AS;128;912994481;1;63300;;;9016;TROMSØ;652299,118299999972805;7733156,685499999672174;4888;18,9288349;69,6626892
306;Fredly kirke;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11120;;30;5;2;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;1;13400;;Fredlyveien 4;9411;HARSTAD;563368,784400000004098;7630592,688799999654293;4998;16,5688953;68,7795715
307;Sentrum syd;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11122;;0;172;2;0;;;;;;;;;;;;ALTA KOMMUNE KOMMUNALTEKNIKK;164;976980905;4;89238;;Bjørn Wirkolas Vei 15;9510;ALTA;815432,993800000054762;7783301,959999999962747;4999;23,2714348;69,9640656
308;P-plass, Sama;AVGRENSET_OMRADE;JA;Parkeringsregisteret;11123;;28;0;0;0;;;;;;;;;;;;HARSTAD KOMMUNE DRIFT OG UTBYGGINGSTJENESTEN AVD PARKERING;111;991103937;2;30519;;Vinkelstien 1;9403;HARSTAD;561783,020299999974668;7633522,167500000447035;5000;16,5314598;68,8061981
309;Bane Nor;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11244;;0;25;2;0;;;;;;;;;;;;RANA KOMMUNE PARKERINGSKONTORET;153;974550784;3;81069;;Ole Tobias Olsens gate 17;8622;MO I RANA;461164,066799999971408;7354623,363699999637902;5069;14,1338139;66,3090134
310;Alta Havn ;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11257;;2;28;2;0;;;;;;;;;;;;ALTA KOMMUNE KOMMUNALTEKNIKK;164;976980905;1;13584;;Havneveien 24;9515;ALTA;817537,046899999957532;7785151,507199999876320;5071;23,3324661;69,9779129
311;Elkjøp Svolvær;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11286;;1;20;1;0;;;;;;;;;;;;TIME PARK AS;135;991003975;5;99684;;Sivert Nilsens gate 35;8300;SVOLVÆR;481801,514199999975972;7568998,379300000146031;5079;14,5602350;68,2338181
312;Finnsnes Hotell;LANGS_KJOREBANE;NEI;Parkeringsregisteret;44054;;20;0;0;0;;;;;;;;;;;;TIME PARK AS;135;991003975;1;63941;;Torggata 15;9300;FINNSNES;617851,704499999992549;7682827,615100000053644;5080;17,9788036;69,2295837
313;Eidkjosen;LANGS_KJOREBANE;JA;Parkeringsregisteret;11339;;24;0;1;0;;;;;;;;;;;;STATENS VEGVESEN;1581;971032081;1;13720;;Fjordvegen;9107;KVALØYA;645112,855499999946915;7734577,049499999731779;5097;18,7462025;69,6794434
314;Skjelnan barnehage;AVGRENSET_OMRADE;NEI;Parkeringsregisteret;11341;;4;0;0;0;;;;;;;;;;;;STATENS VEGVESEN;1581;971032081;1;13723;;Gabbrovegen 60;9022;KROKELVDALEN;657824,657499999972060;7736703,840900000184774;5098;19,0770283;69,6911774
